plz,ort
8489,Wildberg
8913,Ottenbach
8422,Pfungen
8194,Hüntwangen
8708,Männedorf
8156,Oberhasli
8610,Uster
8353,Elgg
8408,Winterthur
8932,Mettmenstetten
8153,Rümlang
8143,Stallikon
8477,Oberstammheim
8810,Horgen
8135,Langnau am Albis
8418,Schlatt ZH
8472,Seuzach
8700,Küsnacht ZH
8908,Hedingen
8934,Knonau
8132,Egg b. Zürich
8805,Richterswil
8247,Flurlingen
8158,Regensberg
8004,Zürich
8306,Brüttisellen
8152,Opfikon
8700,Küsnacht ZH
8192,Zweidlen
8412,Riet (Neftenbach)
8610,Uster
8926,Hauptikon
8627,Grüningen
8125,Zollikerberg
8052,Zürich
8134,Adliswil
8345,Adetswil
8107,Buchs ZH
8132,Hinteregg
8354,Hofstetten ZH
8428,Teufen ZH
8464,Ellikon am Rhein
8952,Schlieren
8618,Oetwil am See
8902,Urdorf
8342,Wernetshausen
8312,Winterberg ZH
8050,Zürich
8136,Gattikon
8942,Oberrieden
8523,Hagenbuch ZH
8142,Uitikon Waldegg
8197,Rafz
8008,Zürich
8104,Weiningen ZH
8489,Schalchen
8055,Zürich
8142,Uitikon Waldegg
8496,Steg im Tösstal
8400,Winterthur
8330,Pfäffikon ZH
8180,Bülach
8494,Bauma
8460,Marthalen
8903,Birmensdorf ZH
8197,Rafz
8164,Bachs
8627,Grüningen
8154,Oberglatt ZH
8134,Adliswil
8625,Gossau ZH
8354,Hofstetten ZH
8910,Affoltern am Albis
8476,Unterstammheim
8617,Mönchaltorf
8474,Dinhard
8307,Ottikon b. Kemptthal
8542,Wiesendangen
8543,Bertschikon
8452,Adlikon b. Andelfingen
8049,Zürich
8053,Zürich
8002,Zürich
8006,Zürich
8447,Dachsen
8483,Kollbrunn
8197,Rafz
8951,Fahrweid
8543,Kefikon ZH
8155,Nassenwil
8471,Dägerlen
8482,Sennhof (Winterthur)
8051,Zürich
8915,Hausen am Albis
8052,Zürich
8180,Bülach
8164,Bachs
8634,Hombrechtikon
8051,Zürich
8627,Grüningen
8630,Rüti ZH
8103,Unterengstringen
8714,Feldbach
8404,Reutlingen (Winterthur)
8404,Stadel (Winterthur)
8633,Wolfhausen
8184,Bachenbülach
8820,Wädenswil
8165,Oberweningen
8001,Zürich
8155,Niederhasli
8143,Uetliberg
8603,Schwerzenbach
8196,Wil ZH
8600,Dübendorf
6340,Sihlbrugg
8192,Glattfelden
8405,Winterthur
8706,Meilen
8051,Zürich
8117,Fällanden
8416,Flaach
8816,Hirzel
8187,Weiach
8320,Fehraltorf
8499,Sternenberg
8484,Weisslingen
8462,Rheinau
8635,Dürnten
8608,Bubikon
8413,Neftenbach
8912,Obfelden
8906,Bonstetten
8162,Steinmaur
8175,Windlach
8618,Oetwil am See
8157,Dielsdorf
8107,Buchs ZH
8165,Schleinikon
8486,Rikon im Tösstal
8173,Neerach
8543,Gundetswil
8412,Aesch (Neftenbach)
8802,Kilchberg ZH
8310,Kemptthal
8471,Berg (Dägerlen)
8603,Schwerzenbach
8044,Gockhausen
8926,Uerzlikon
8123,Ebmatingen
8951,Fahrweid
8951,Fahrweid
8363,Bichelsee
8354,Hofstetten ZH
5462,Siglistorf
8134,Adliswil
8542,Wiesendangen
8910,Affoltern am Albis
8636,Wald ZH
8180,Bülach
8605,Gutenswil
8707,Uetikon am See
8708,Männedorf
8032,Zürich
8459,Volken
8909,Zwillikon
8038,Zürich
8133,Esslingen
8045,Zürich
8127,Forch
8427,Freienstein
8704,Herrliberg
6340,Sihlbrugg
8354,Dickbuch
8064,Zürich
8544,Attikon
8332,Rumlikon
8245,Feuerthalen
8415,Gräslikon
8482,Sennhof (Winterthur)
8152,Glattbrugg
8135,Sihlbrugg Station
8415,Berg am Irchel
8545,Rickenbach ZH
8702,Zollikon
8475,Ossingen
8824,Schönenberg ZH
8425,Oberembrach
8414,Buch am Irchel
8634,Hombrechtikon
8825,Hütten
8311,Brütten
8406,Winterthur
8713,Uerikon
8626,Ottikon (Gossau ZH)
8044,Zürich
8463,Benken ZH
8493,Saland
8800,Thalwil
8614,Bertschikon (Gossau ZH)
8308,Agasul
8623,Wetzikon ZH
8465,Wildensbuch
8409,Winterthur
8498,Gibswil
8489,Ehrikon
8310,Grafstal
8307,Effretikon
8608,Bubikon
8486,Rikon im Tösstal
8636,Wald ZH
8162,Steinmaur
8142,Uitikon Waldegg
8192,Glattfelden
8152,Glattbrugg
8143,Uetliberg
8041,Zürich
8925,Ebertswil
8487,Zell ZH
8412,Hünikon (Neftenbach)
8453,Alten
8305,Dietlikon
8052,Zürich
8113,Boppelsen
8195,Wasterkingen
8607,Aathal-Seegräben
8907,Wettswil
8615,Wermatswil
8616,Riedikon
8703,Erlenbach ZH
8545,Rickenbach Sulz
8464,Ellikon am Rhein
8132,Hinteregg
8127,Forch
8108,Dällikon
8428,Teufen ZH
8405,Winterthur
8630,Rüti ZH
8192,Glattfelden
8953,Dietikon
8303,Bassersdorf
8352,Elsau
8497,Fischenthal
8479,Altikon
8185,Winkel
8166,Niederweningen
8174,Stadel b. Niederglatt
8602,Wangen b. Dübendorf
8126,Zumikon
8712,Stäfa
8426,Lufingen
8345,Adetswil
8461,Oerlingen
8471,Oberwil (Dägerlen)
8707,Uetikon am See
8616,Riedikon
8471,Rutschwil (Dägerlen)
8614,Sulzbach
8246,Langwiesen
8340,Hinwil
8545,Rickenbach Sulz
8497,Fischenthal
8805,Richterswil
8498,Gibswil
8605,Gutenswil
8914,Aeugstertal
8132,Hinteregg
8487,Rämismühle
8484,Neschwil
8115,Hüttikon
8122,Binz
8493,Saland
8154,Oberglatt ZH
8607,Aathal-Seegräben
8815,Horgenberg
8548,Ellikon an der Thur
8181,Höri
8820,Wädenswil
8915,Hausen am Albis
8492,Wila
8196,Wil ZH
8712,Stäfa
8450,Andelfingen
8911,Rifferswil
8478,Thalheim an der Thur
8304,Wallisellen
8332,Russikon
8046,Zürich
8155,Niederhasli
8037,Zürich
8492,Wila
8047,Zürich
8465,Rudolfingen
8114,Dänikon ZH
8331,Auslikon
8804,Au ZH
8162,Sünikon
8355,Aadorf
8003,Zürich
8603,Schwerzenbach
8158,Regensberg
8617,Mönchaltorf
8457,Humlikon
8125,Zollikerberg
8124,Maur
8810,Horgen
8833,Samstagern
8483,Kollbrunn
8803,Rüschlikon
8005,Zürich
8637,Laupen ZH
8606,Greifensee
8484,Theilingen
8352,Ricketwil (Winterthur)
8617,Mönchaltorf
8308,Illnau
8498,Gibswil
8193,Eglisau
8525,Wilen b. Neunforn
8617,Mönchaltorf
8135,Sihlwald
8451,Kleinandelfingen
8933,Maschwanden
8041,Zürich
8620,Wetzikon ZH
8424,Embrach
8706,Meilen
8600,Dübendorf
8604,Volketswil
8309,Nürensdorf
8105,Regensdorf
8523,Hagenbuch ZH
8124,Maur
8112,Otelfingen
8952,Schlieren
8182,Hochfelden
8606,Greifensee
8322,Madetswil
8703,Erlenbach ZH
8421,Dättlikon
8955,Oetwil an der Limmat
8103,Unterengstringen
8471,Bänk (Dägerlen)
8310,Kemptthal
8118,Pfaffhausen
8106,Adlikon b. Regensdorf
8954,Geroldswil
8308,Agasul
8322,Madetswil
8143,Uetliberg
8155,Niederhasli
8600,Dübendorf
8340,Hinwil
8447,Dachsen
8340,Hinwil
8804,Au ZH
8317,Tagelswangen
8322,Gündisau
8172,Niederglatt ZH
8315,Lindau
8444,Henggart
8165,Schöfflisdorf
8466,Trüllikon
8102,Oberengstringen
8152,Glattbrugg
8212,Nohl
8162,Steinmaur
8488,Turbenthal
8127,Forch
8174,Stadel b. Niederglatt
8467,Truttikon
8926,Kappel am Albis
8427,Rorbas
8636,Wald ZH
8488,Turbenthal
8302,Kloten
8340,Hinwil
8344,Bäretswil
8335,Hittnau
8704,Herrliberg
8193,Eglisau
8308,Illnau
8902,Urdorf
8307,Effretikon
8404,Winterthur
8048,Zürich
8314,Kyburg
8442,Hettlingen
8248,Uhwiesen
8458,Dorf
8105,Watt
8904,Aesch ZH
8803,Rüschlikon
8495,Schmidrüti
8714,Feldbach
8942,Oberrieden
8802,Kilchberg ZH
8117,Fällanden
8121,Benglen
8713,Uerikon
8702,Zollikon
8615,Freudwil
8152,Glattpark (Opfikon)
8546,Menzengrüt
8494,Bauma
8703,Erlenbach ZH
8623,Wetzikon ZH
8500,Gerlikon
8468,Waltalingen
8057,Zürich
8606,Nänikon
8468,Guntalingen
8914,Aeugst am Albis
8800,Thalwil
8632,Tann
8624,Grüt (Gossau ZH)
8466,Trüllikon
8180,Bülach
8447,Dachsen